273,51.4965,-0.1447,Victoria,1,District Line,0d6928,440,416
277,51.5247,-0.1384,Warren Street,0,Victoria Line,0076bd,480,132
277,51.5247,-0.1384,Warren Street,0,Northern Line,000000,480,132
279,51.5036,-0.1143,Waterloo,1,Bakerloo Line,ab6612,633,344
279,51.5036,-0.1143,Waterloo,1,Jubilee Line,767b7f,633,344
279,51.5036,-0.1143,Waterloo,1,Northern Line,000000,633,344
279,51.5036,-0.1143,Waterloo,1,Waterloo & City Line,89cbc1,633,344
285,51.501,-0.1254,Westminster,0,Circle Line,f7dc00,563,371
285,51.501,-0.1254,Westminster,0,District Line,0d6928,563,371
285,51.501,-0.1254,Westminster,0,Jubilee Line,767b7f,563,371
233,51.504,-0.1052,Southwark,0,Jubilee Line,767b7f,693,341
